"species","mean_percentage","sd_percentage"
"Pristis pristis",3.98579475875582,0.274580544323879
"Breviraja spinosa",3.97916666666667,2.53162862966086
"Brochiraja heuresa",3.97435897435897,2.71199986216429
"Heptranchias perlo",3.93911917098446,0.259769415505568
"Carcharhinus amboinensis",3.92316729323308,0.223839975198705
"Triaenodon obesus",3.92217194570136,0.231318392776966
"Bathyraja trachouros",3.8955223880597,2.0882057215193
"Centrophorus uyato",3.89201101928375,0.399347408277498
"Galeorhinus galeus",3.87443130118289,0.267164729493804
"Bathyraja cousseauae",3.84090909090909,1.22475339144482
"Squatina dumeril",3.84072022160665,0.725148449391767
"Bathyraja papilionifera",3.83018867924528,2.6201181279802
"Carcharhinus melanopterus",3.8293891029169,0.244497372533722
"Bathyraja diplotaenia",3.82432432432432,1.91163019584891
"Himantura granulata",3.82217461167649,0.24923204492235
"Fenestraja sinusmexicanus",3.81626506024096,1.03108365931641
"Deania calcea",3.81183745583039,0.355719206725878
"Squalus lobularis",3.8,3.1478708533056
"Cephaloscyllium umbratile",3.7984496124031,0.836297533420781
"Apristurus parvipinnis",3.79187817258883,1.11645990055416
"Rhinoraja kujiensis",3.78205128205128,1.37121926213777
"Gurgesiella atlantica",3.77931034482759,1.29108282856842
"Etmopterus bigelowi",3.76643128734383,0.399844208846132
"Himantura jenkinsii",3.74752781211372,0.254897502428602
"Carcharhinus sorrah",3.73121869782972,0.245783980829133
"Gurgesiella dorsalifera",3.7027027027027,2.76090751842814
"Himantura uarnak",3.69496500338677,0.212105376248091
"Myliobatis goodei",3.66910994764398,0.472036683582286
"Dipturus tengu",3.65765765765766,0.933554494738854
"Benthobatis kreffti",3.64864864864865,3.00947977504883
"Narcine brasiliensis",3.62096774193548,1.72886723338666
"Bathyraja bergi",3.60887096774194,1.09850115843785
"Schroederichthys saurisqualus",3.58,2.03593971056377
"Squalus albicaudus",3.578125,2.42565229629063
"Carcharhinus macloti",3.56265289480837,0.232036355055481
"Squalus cubensis",3.53791708796764,0.564250781332226
"Squalus quasimodo",3.525,3.079235606314
"Etmopterus benchleyi",3.52173913043478,3.25214760944649
"Scyliorhinus boa",3.51890034364261,1.00588605621017
"Etmopterus schultzi",3.51652892561984,1.02991424193709
"Squalus griffini",3.50140845070423,0.961950886362516
"Cruriraja rugosa",3.4989010989011,0.74885726153242
"Scyliorhinus retifer",3.4951768488746,1.10411705072431
"Negaprion acutidens",3.47985107314936,0.206646400508368
"Etmopterus gracilispinis",3.47339077546883,0.342884643589296
"Galeus mincaronei",3.46153846153846,3.52166548478744
"Centrophorus tessellatus",3.45084745762712,0.973660646378578
"Squatina californica",3.44736842105263,0.910790019371153
"Hexanchus griseus",3.42154831418346,0.216315291774648
"Dasyatis hypostigma",3.40127388535032,1.47156887058713
"Heterodontus zebra",3.38832997987928,0.524777816484096
"Neoharriotta carri",3.37962962962963,1.491124388014
"Okamejei schmidti",3.33766233766234,2.29258950732986
"Squatina occulta",3.33333333333333,1.12586218660947
"Mustelus canis",3.33177570093458,0.340516074263203
"Carcharhinus plumbeus",3.32071528100325,0.133050337218513
"Rajella fuliginea",3.3160621761658,0.641078222548074
"Squatina argentina",3.31182795698925,1.40222889673438
"Dactylobatus clarkii",3.3037037037037,1.05898426470274
"Carcharhinus porosus",3.29102564102564,0.55512355446897
"Dipturus mennii",3.29090909090909,2.24837272224938
"Anacanthobatis americana",3.28021978021978,1.14365254474686
"Centroscyllium nigrum",3.2532637075718,0.884775934900118
"Dasyatis centroura",3.25126262626263,0.578016329398487
"Apristurus herklotsi",3.18518518518519,1.60817251604511
"Dasyatis acutirostra",3.18367346938776,2.36223760725104
"Dipturus olseni",3.18181818181818,2.10453014441981
"Rhinoptera brasiliensis",3.17993079584775,0.637831698034923
"Rhizoprionodon terraenovae",3.17041420118343,0.605375772345125
"Etmopterus virens",3.16554054054054,0.563891691668976
